feature_family_id,dataset_tag,prediction_setting,registry_recorded_status,derived_section10_verdict,equality_token,stricter_drift_flag,looser_drift_flag,independent_trigger_hits,triggers_fired,rule_path,materialized_column_count,halting_falsifier,audit_executed_at_utc_date,validator_module,validator_module_sha256,source_pr,audit_pr,registry_csv_sha256,tracker_csv_sha256,spec_revision_cross_02_03,git_sha,block
sc2egset.pre_game.focal_race_with_opponent_race_pair,sc2egset,pre_game,allowed,allowed,equal,false,false,,,pre_game -> no triggers -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,pre_game
sc2egset.pre_game.map_type_encoded,sc2egset,pre_game,allowed,allowed,equal,false,false,,,pre_game -> no triggers -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,pre_game
sc2egset.pre_game.patch_version_encoded,sc2egset,pre_game,allowed,allowed,equal,false,false,,,pre_game -> no triggers -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,pre_game
sc2egset.pre_game.matchup_encoded,sc2egset,pre_game,allowed,allowed,equal,false,false,,,pre_game -> no triggers -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,pre_game
sc2egset.pre_game.is_mmr_missing_flag,sc2egset,pre_game,allowed,allowed,equal,false,false,,,pre_game -> no triggers -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,pre_game
sc2egset.history_enriched_pre_game.focal_player_history,sc2egset,history_enriched_pre_game,allowed,allowed,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage='rolling_includes_target_game' mitigated -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.history_enriched_pre_game.opponent_player_history,sc2egset,history_enriched_pre_game,allowed,allowed,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage='rolling_includes_target_game' mitigated -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.history_enriched_pre_game.matchup_history_aggregate,sc2egset,history_enriched_pre_game,allowed,allowed,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage='h2h_includes_target_game' mitigated -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.history_enriched_pre_game.reconstructed_rating,sc2egset,history_enriched_pre_game,allowed,allowed,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage='rating_uses_target_game_outcome' mitigated -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.history_enriched_pre_game.cross_region_fragmentation_handling,sc2egset,history_enriched_pre_game,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage=cross_region_history_drop -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.history_enriched_pre_game.in_game_history_aggregate,sc2egset,history_enriched_pre_game,allowed,allowed,equal,false,false,,,history_enriched_pre_game -> strict '<' present -> leakage='rolling_includes_target_game' mitigated -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,history_enriched_pre_game
sc2egset.in_game_snapshot.count_units_built_by_cutoff_loop,sc2egset,in_game_snapshot,allowed,allowed,equal,false,false,,,in_game_snapshot -> no caveat/block -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_now
sc2egset.in_game_snapshot.count_units_killed_by_cutoff_loop,sc2egset,in_game_snapshot,allowed,allowed,equal,false,false,,,in_game_snapshot -> no caveat/block -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_now
sc2egset.in_game_snapshot.morph_count_by_cutoff_loop,sc2egset,in_game_snapshot,allowed,allowed,equal,false,false,,,in_game_snapshot -> no caveat/block -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_now
sc2egset.in_game_snapshot.building_construction_count_by_cutoff_loop,sc2egset,in_game_snapshot,allowed,allowed,equal,false,false,,,in_game_snapshot -> no caveat/block -> allowed,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_now
sc2egset.in_game_snapshot.minerals_collection_rate_history_mean,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'snapshot_oscillation' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.army_value_at_5min_snapshot,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'lps_caveat_on_5min' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.supply_used_at_cutoff_snapshot,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'fixed_point_scaling_unconfirmed' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.food_used_max_history,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'fixed_point_scaling_unconfirmed' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.time_to_first_expansion_loop,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'full_replay_min_loop_blocked' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.count_units_lost_by_cutoff_loop,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'lineage_orphan_drop' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.count_upgrades_by_cutoff_loop,sc2egset,in_game_snapshot,allowed_with_caveat,allowed_with_caveat,equal,false,false,,,in_game_snapshot -> caveat leakage mode 'upgrade_count_field_unconfirmed' -> allowed_with_caveat,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,in_game_caveat
sc2egset.in_game_snapshot.slot_identity_consistency,sc2egset,in_game_snapshot,sanity_gate_not_model_input,sanity_gate_not_model_input,equal,false,false,,,in_game_snapshot -> slot_identity_consistency -> sanity_gate_not_model_input,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,gate_and_blocked
sc2egset.blocked_or_deferred.mind_control_event_count,sc2egset,blocked_or_deferred,blocked_until_additional_validation,blocked_until_validation,equal_via_synonym,false,false,,,prediction_setting='blocked_or_deferred' -> blocked_until_validation,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,gate_and_blocked
sc2egset.blocked_or_deferred.army_centroid_at_cutoff_snapshot,sc2egset,blocked_or_deferred,blocked_until_additional_validation,blocked_until_validation,equal_via_synonym,false,false,,,prediction_setting='blocked_or_deferred' -> blocked_until_validation,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,gate_and_blocked
sc2egset.blocked_or_deferred.playerstats_cumulative_economy_fields,sc2egset,blocked_or_deferred,blocked_until_additional_validation,blocked_until_validation,equal_via_synonym,false,false,,,prediction_setting='blocked_or_deferred' -> blocked_until_validation,0,,2026-05-21,src/rts_predict/games/sc2/datasets/sc2egset/validate_registry_section10_verdicts.py,7d164e42af3e6d434e642e089d5a8fd153cebcb548d2f5f84a8264f247a30268,PR #228,PR #229,320b8b018982f12539a34512421f1b34359bb825f0d1410687492dfe5c6fed1f,11bd4b9ef7c80657a027db3831313c1d74c39b85834c25ecdfa78506e8ad8d22,CROSS-02-03-v1.0.1,119686d028c70853fe589185db0185adb0d8b2f2,gate_and_blocked
